order,sha,subject,date,corpus,project,mode_used,crate_emitted,crate_builds,graph_items,ported
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,union-find,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,word-count,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,cpp,fixed-stats,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,cpp,polygon,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,cpp,ringbuf-lib,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,cpp,shapes,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,cpp,tokenizer,--emit=crate,1,1,,
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,argv-echo,--emit=crate --incremental,0,0,,
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,base64,--emit=crate --incremental,1,1,1,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,binary-tree,--emit=crate --incremental,1,1,4,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,calc,--emit=crate --incremental,1,1,4,4
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,crc32,--emit=crate --incremental,1,1,2,2
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,expr-eval,--emit=crate --incremental,1,1,6,0
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,grep-lite,--emit=crate --incremental,1,1,1,0
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,linked-list,--emit=crate --incremental,1,1,2,2
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,logger,--emit=crate --incremental,1,1,3,3
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,malloc-stack,--emit=crate --incremental,1,1,1,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,sieve,--emit=crate --incremental,1,1,1,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,union-find,--emit=crate --incremental,1,1,6,2
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,c,word-count,--emit=crate --incremental,1,1,1,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,cpp,fixed-stats,--emit=crate --incremental,1,1,11,11
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,cpp,polygon,--emit=crate --incremental,1,1,8,2
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,cpp,ringbuf-lib,--emit=crate --incremental,0,0,,
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,cpp,shapes,--emit=crate --incremental,1,1,7,1
4,385efc3,W5.4: FR-44 incremental crate output and progress ratchet,2026-07-28,cpp,tokenizer,--emit=crate --incremental,1,1,5,5
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,argv-echo,--emit=crate --incremental,0,0,,
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,base64,--emit=crate --incremental,1,1,1,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,binary-tree,--emit=crate --incremental,1,1,4,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,calc,--emit=crate --incremental,1,1,4,4
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,crc32,--emit=crate --incremental,1,1,2,2
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,expr-eval,--emit=crate --incremental,1,1,6,0
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,grep-lite,--emit=crate --incremental,1,1,1,0
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,linked-list,--emit=crate --incremental,1,1,2,2
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,logger,--emit=crate --incremental,1,1,3,3
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,malloc-stack,--emit=crate --incremental,1,1,1,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,sieve,--emit=crate --incremental,1,1,1,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,union-find,--emit=crate --incremental,1,1,6,2
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,c,word-count,--emit=crate --incremental,1,1,1,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,cpp,fixed-stats,--emit=crate --incremental,1,1,11,11
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,cpp,polygon,--emit=crate --incremental,1,1,8,2
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,cpp,ringbuf-lib,--emit=crate --incremental,0,0,,
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,cpp,shapes,--emit=crate --incremental,1,1,7,1
5,1a37f6c,W5.3: FR-43 frontier tree search over admitted item sets,2026-07-28,cpp,tokenizer,--emit=crate --incremental,1,1,5,5
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,argv-echo,--emit=crate --incremental,0,0,,
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,base64,--emit=crate --incremental,1,1,1,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,binary-tree,--emit=crate --incremental,1,1,4,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,calc,--emit=crate --incremental,1,1,4,4
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,crc32,--emit=crate --incremental,1,1,2,2
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,expr-eval,--emit=crate --incremental,1,1,6,0
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,grep-lite,--emit=crate --incremental,1,1,1,0
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,linked-list,--emit=crate --incremental,1,1,2,2
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,logger,--emit=crate --incremental,1,1,3,3
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,malloc-stack,--emit=crate --incremental,1,1,1,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,sieve,--emit=crate --incremental,1,1,1,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,union-find,--emit=crate --incremental,1,1,6,2
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,c,word-count,--emit=crate --incremental,1,1,1,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,cpp,fixed-stats,--emit=crate --incremental,1,1,11,11
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,cpp,polygon,--emit=crate --incremental,1,1,8,4
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,cpp,ringbuf-lib,--emit=crate --incremental,0,0,,
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,cpp,shapes,--emit=crate --incremental,1,1,7,1
6,c665b20,W5.9: FR-48 C++ reference types (rank-1 corpus blocker),2026-07-29,cpp,tokenizer,--emit=crate --incremental,1,1,5,5
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,argv-echo,--emit=crate --incremental,0,0,,
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,base64,--emit=crate --incremental,1,1,1,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,binary-tree,--emit=crate --incremental,1,1,4,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,calc,--emit=crate --incremental,1,1,4,4
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,crc32,--emit=crate --incremental,1,1,2,2
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,expr-eval,--emit=crate --incremental,1,1,6,0
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,grep-lite,--emit=crate --incremental,1,1,1,0
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,linked-list,--emit=crate --incremental,1,1,2,2
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,logger,--emit=crate --incremental,1,1,3,3
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,malloc-stack,--emit=crate --incremental,1,1,1,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,sieve,--emit=crate --incremental,1,1,1,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,union-find,--emit=crate --incremental,1,1,6,2
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,c,word-count,--emit=crate --incremental,1,1,1,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,cpp,fixed-stats,--emit=crate --incremental,1,1,11,11
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,cpp,polygon,--emit=crate --incremental,1,1,8,4
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,cpp,ringbuf-lib,--emit=crate --incremental,0,0,,
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,cpp,shapes,--emit=crate --incremental,1,1,7,1
7,bc0be94,"W5.10: FR-50 --search never loses to --incremental, and a real miscompile fix",2026-07-29,cpp,tokenizer,--emit=crate --incremental,1,1,5,5
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,argv-echo,--emit=crate --incremental,1,1,1,0
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,base64,--emit=crate --incremental,1,1,1,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,binary-tree,--emit=crate --incremental,1,1,4,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,calc,--emit=crate --incremental,1,1,4,4
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,crc32,--emit=crate --incremental,1,1,2,2
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,expr-eval,--emit=crate --incremental,1,1,6,0
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,grep-lite,--emit=crate --incremental,1,1,1,0
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,linked-list,--emit=crate --incremental,1,1,2,2
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,logger,--emit=crate --incremental,1,1,3,3
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,malloc-stack,--emit=crate --incremental,1,1,1,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,sieve,--emit=crate --incremental,1,1,1,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,union-find,--emit=crate --incremental,1,1,6,2
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,c,word-count,--emit=crate --incremental,1,1,1,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,cpp,fixed-stats,--emit=crate --incremental,1,1,11,11
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,cpp,polygon,--emit=crate --incremental,1,1,8,4
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,cpp,ringbuf-lib,--emit=crate --incremental,1,1,12,12
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,cpp,shapes,--emit=crate --incremental,1,1,7,1
8,4c89af1,W5.11: FR-51 library crates -- distinguish Rust lib from bin,2026-07-29,cpp,tokenizer,--emit=crate --incremental,1,1,5,5
